Chord,E,A,D,G,B,E2,Structure,Note1,Note2,Note3,Note4,Note5,Note6
Ab6;5,2,x,1,4,x,x,1;3;5;6,G#,x,F,C,x,x
Ab6;6,1,x,x,3,4,x,1;3;5;6,G#,x,x,C,F,x
Ab6;7,x,x,1,3,1,4,1;3;5;6,x,x,G#,D,F,C
Ab7;1,x,x,1,1,1,2,1;3;5;b7,x,x,D,G#,C,F
Ab7;2,1,3,1,2,4,1,1;3;5;b7,G#,D,F,C,F,G#
Ab7;3,x,1,3,1,4,1,1;3;5;b7,x,G#,D,F,C,D
Ab7;4,x,x,x,2,1,3,1;3;5;b7,x,x,x,D,F,C
Ab7;5,1,3,1,2,1,1,1;3;5;b7,G#,D,F,C,D,G#
Ab7;6,1,x,2,3,x,x,1;3;5;b7,G#,x,F,C,x,x
Ab7;7,x,2,1,3,x,x,1;3;5;b7,x,G#,C,F,x,x
Ab7;8,x,x,1,3,2,4,1;3;5;b7,x,x,G#,D,F,C
Ab7;9,1,3,x,2,4,x,1;3;5;b7,G#,D,x,C,F,x
Ab7;10,x,x,1,2,1,1,1;3;5;b7,x,x,F,C,D,G#
Ab7;11,x,x,2,3,1,4,1;3;5;b7,x,x,C,F,G#,D
Ab7;12,1,3,1,2,4,x,1;3;5;b7,G#,D,F,C,F,x
Ab9;1,x,1,3,2,4,x,1;3;5;b7;9,x,C,F,A#,D,x
Ab9;2,x,x,2,1,3,4,1;3;5;b7;9,x,x,F,A#,D,G#
Ab9;3,x,2,1,3,4,x,1;3;5;b7;9,x,G#,C,F,A#,x
Ab11;1,3,x,4,2,1,1,1;3;5;b7;9;11,G#,x,F,A#,C#,F
Ab11;2,x,x,1,1,2,1,1;3;5;b7;9;11,x,x,G#,C#,F,A#
Ab11;3,x,1,1,1,1,1,1;3;5;b7;9;11,x,G#,C#,F,A#,D
Ab13;1,3,x,4,2,1,1,1;3;5;b7;9;11;13,G#,x,F,A#,C,F
Ab13;2,1,x,1,2,3,4,1;3;5;b7;9;11;13,G#,x,F,C,F,A#
Ab13;3,x,2,1,3,3,4,1;3;5;b7;9;11;13,x,G#,C,F,A#,F
Ab13;4,1,x,2,3,4,x,1;3;5;b7;9;11;13,G#,x,F,C,F,x
Ab13;5,x,x,1,3,3,4,1;3;5;b7;9;11;13,x,x,C,F,A#,F
Ab43991;1,2,1,1,1,3,4,1;3;5;6;9,G#,C,F,A#,D,G#
Ab43991;2,x,x,2,1,3,4,1;3;5;6;9,x,x,G#,C,F,A#
Ab43991;3,x,2,1,1,3,4,1;3;5;6;9,x,G#,C,F,A#,D
Ab7(#11);1,2,x,3,4,1,x,1;3;5;b7;#11,G#,x,F,C,D,x
Ab7(#11);2,1,x,1,4,x,x,1;3;5;b7;#11,G#,x,F,D,x,x
Ab7(#5);1,1,x,1,2,3,1,1;3;#5;b7,G#,x,F,C,E,G#
Ab7(#5);2,x,1,2,1,1,x,1;3;#5;b7,x,F,C,E,G#,x
Ab7(#5);3,x,1,4,1,3,2,1;3;#5;b7,x,G#,E,F,C,E
Ab7(#5);4,1,x,2,3,4,x,1;3;#5;b7,G#,x,F,C,E,x
Ab7(#5);5,x,x,1,2,3,1,1;3;#5;b7,x,x,F,C,E,G#
Ab7(#9);1,2,1,3,3,3,3,1;3;5;b7;#9,G#,C,F,B,D,G#
Ab7(#9);2,1,3,1,2,1,4,1;3;5;b7;#9,G#,D,F,C,D,B
